donmccurdy/three-gltf-viewer	2446	https://github.com/donmccurdy/three-gltf-viewer	false	false	2026-04-09T07:18:24Z	MIT	Drag-and-drop preview for glTF 2.0 models in WebGL using three.js.
yomotsu/camera-controls	2415	https://github.com/yomotsu/camera-controls	false	false	2026-02-02T04:58:37Z	MIT	A camera control for three.js, similar to THREE.OrbitControls yet supports smooth transitions and more features.
NASA-AMMOS/3DTilesRendererJS	2385	https://github.com/NASA-AMMOS/3DTilesRendererJS	false	false	2026-07-11T07:26:44Z	Apache-2.0	Renderer for 3D Tiles in Javascript using three.js, Babylon.js, and r3f
facebookincubator/FBX2glTF	2325	https://github.com/facebookincubator/FBX2glTF	false	false	2026-03-27T00:55:55Z	NOASSERTION	A command-line tool for the conversion of 3D model assets on the FBX file format to the glTF file format.
BelfrySCAD/BOSL2	2266	https://github.com/BelfrySCAD/BOSL2	false	false	2026-06-29T12:06:33Z	BSD-2-Clause	The Belfry OpenScad Library, v2.0.  An OpenSCAD library of shapes, masks, and manipulators to make working with OpenSCAD easier.  BETA
kennetek/gridfinity-rebuilt-openscad	2200	https://github.com/kennetek/gridfinity-rebuilt-openscad	false	false	2025-08-31T23:35:30Z	NOASSERTION	A ground-up rebuild of the stock gridfinity bins in OpenSCAD
mkeeter/antimony	2186	https://github.com/mkeeter/antimony	false	false	2025-10-12T13:01:34Z		CAD from a parallel universe
webgpu/webgpu-samples	2146	https://github.com/webgpu/webgpu-samples	false	false	2026-07-07T02:30:08Z	BSD-3-Clause	WebGPU Samples
CesiumGS/gltf-pipeline	2121	https://github.com/CesiumGS/gltf-pipeline	false	false	2026-06-23T13:27:31Z	Apache-2.0	Content pipeline tools for optimizing glTF assets. :globe_with_meridians:
fougue/mayo	2094	https://github.com/fougue/mayo	false	false	2026-07-03T13:02:56Z	BSD-2-Clause	3D CAD viewer and converter based on Qt + OpenCascade
microsoft/maker.js	2012	https://github.com/microsoft/maker.js	false	false	2026-06-27T21:35:50Z	Apache-2.0	📐⚙ 2D vector line drawing and shape modeling for CNC and laser cutters.
fogleman/sdf	1992	https://github.com/fogleman/sdf	false	false	2024-08-10T20:40:33Z	MIT	Simple SDF mesh generation in Python
donmccurdy/glTF-Transform	1913	https://github.com/donmccurdy/glTF-Transform	false	false	2026-07-03T15:40:15Z	MIT	glTF 2.0 SDK for JavaScript and TypeScript, on Web and Node.js.
nophead/NopSCADlib	1604	https://github.com/nophead/NopSCADlib	false	false	2025-10-08T16:20:29Z	GPL-3.0	Library of parts modelled in OpenSCAD and a framework for making projects
Kitware/vtk-js	1515	https://github.com/Kitware/vtk-js	false	false	2026-07-13T15:47:36Z	BSD-3-Clause	Visualization Toolkit for the Web
KhronosGroup/glTF-Sample-Viewer	1464	https://github.com/KhronosGroup/glTF-Sample-Viewer	false	false	2026-06-28T13:09:08Z	Apache-2.0	Physically-Based Rendering in glTF 2.0 using WebGL
zalo/CascadeStudio	1424	https://github.com/zalo/CascadeStudio	false	false	2026-06-16T22:06:27Z	MIT	A Full Live-Scripted CAD Kernel in the Browser
